,	MapTask8To,AllowTF,Combined Tasks,Latency,MapTask10To,MapTask11To,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,MapTask9To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,Number of Processors,Number_Of_Processors_Preffered,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,PowerConsumption,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6
1,"""Node5""",,"(8, 8)",99999.0,"""Node5""","""Node5""","""Node2""","""Node4""","""Node2""","""Node5""","""Node3""","""Node4""","""Node2""","""Node3""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",99999,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",99999.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5
2,"""Node4""",,"(6, 6)",0.00503570153492222,"""Node4""","""Node4""","""Node6""","""Node3""","""Node1""","""Node6""","""Node2""","""Node3""","""Node1""","""Node1""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",5,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.043059822138167184,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
3,"""Node1""",,"(3, 3)",0.00477723460187486,"""Node2""","""Node2""","""Node1""","""Node5""","""Node5""","""Node1""","""Node6""","""Node2""","""Node5""","""Node4""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",5,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.04005149041939179,1.0,1.0,0.5,1.0,1.0,1.0
4,"""Node1""",,"(8, 8)",99999.0,"""Node1""","""Node1""","""Node4""","""Node4""","""Node6""","""Node4""","""Node2""","""Node4""","""Node6""","""Node6""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",99999,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",99999.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
5,"""Node2""",,"(5, 8)",0.00420211599697447,"""Node4""","""Node4""","""Node1""","""Node1""","""Node6""","""Node2""","""Node1""","""Node4""","""Node6""","""Node4""","""Adreno""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""","""MIPS""",4,,"""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.045345511967871566,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
6,"""Node2""",,"(4, 4)",0.00445026626173263,"""Node2""","""Node6""","""Node4""","""Node3""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node6""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""MIPS""",5,,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",0.040425659786415664,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
7,"""Node2""",,"(7, 8)",0.003678888337073,"""Node3""","""Node5""","""Node6""","""Node1""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node4""","""Adreno""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""MIPS""",6,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.03971470960637298,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
8,"""Node2""",,"(6, 8)",0.00524065880373013,"""Node6""","""Node6""","""Node1""","""Node1""","""Node5""","""Node1""","""Node2""","""Node6""","""Node5""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",4,,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",0.039999577694636856,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
9,"""Node4""",,"(3, 3)",0.00404524288556737,"""Node2""","""Node2""","""Node1""","""Node1""","""Node4""","""Node1""","""Node3""","""Node5""","""Node2""","""Node2""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",5,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""",0.041141392316367625,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.25
10,"""Node3""",,"(2, 2)",0.00481806918990842,"""Node6""","""Node5""","""Node2""","""Node4""","""Node2""","""Node2""","""Node6""","""Node1""","""Node4""","""Node5""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",6,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.043216579433973286,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
11,"""Node2""",,"(2, 2)",0.00422907423748683,"""Node4""","""Node6""","""Node3""","""Node4""","""Node5""","""Node2""","""Node6""","""Node4""","""Node5""","""Node6""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""",5,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.04207314760442697,1.0,1.0,0.5,1.0,0.6666666666666666,1.0
12,"""Node4""",,"(3, 3)",0.00342308360070934,"""Node5""","""Node5""","""Node1""","""Node6""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node2""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""MIPS""",5,,"""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""",0.041375909666864316,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
13,"""Node4""",,"(8, 8)",0.00421011868456246,"""Node4""","""Node5""","""Node6""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node5""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",5,,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",0.04228851651882707,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
