,Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,Config,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
9,0.00468456142937741,0.044436406512433566,5,"(1, 1)","""Node2""","""Node5""","""Node4""","""Node2""","""Node6""","""Node5""","""Node1""","""Node4""","""Node6""","""Node1""","""Node1""",20,1.0,1.0,0.5,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
10,0.0039003944102664603,0.04176023274296761,6,"(1, 1)","""Node5""","""Node1""","""Node6""","""Node6""","""Node4""","""Node1""","""Node2""","""Node3""","""Node4""","""Node2""","""Node4""",20,1.0,1.0,1.0,1.0,0.5,1.0,"""PB""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
0,0.0042625331221545605,0.04177674563115207,6,"(1, 1)","""Node6""","""Node1""","""Node4""","""Node2""","""Node3""","""Node1""","""Node5""","""Node4""","""Node5""","""Node5""","""Node5""",20,1.0,1.0,1.0,1.0,1.0,0.25,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
1,0.00544642031086397,0.0372490063201764,6,"(5, 6)","""Node1""","""Node4""","""Node1""","""Node1""","""Node3""","""Node5""","""Node4""","""Node2""","""Node6""","""Node5""","""Node5""",11,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
2,0.00394743819115224,0.04109495309788416,6,"(1, 1)","""Node2""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node5""","""Node3""","""Node6""","""Node3""","""Node5""",20,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
3,0.0034408546247186697,0.04236692993005151,6,"(1, 1)","""Node6""","""Node3""","""Node5""","""Node6""","""Node4""","""Node3""","""Node1""","""Node5""","""Node2""","""Node4""","""Node2""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
4,0.00324648538555782,0.04048662607964255,6,"(1, 1)","""Node4""","""Node5""","""Node3""","""Node4""","""Node2""","""Node5""","""Node3""","""Node1""","""Node6""","""Node1""","""Node6""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
5,0.00439858766901772,0.042982152172341664,6,"(1, 1)","""Node1""","""Node2""","""Node4""","""Node4""","""Node6""","""Node2""","""Node5""","""Node3""","""Node6""","""Node5""","""Node5""",20,0.5,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
6,0.00368945792028979,0.04138177881962035,6,"(3, 4)","""Node4""","""Node5""","""Node4""","""Node2""","""Node2""","""Node5""","""Node3""","""Node4""","""Node6""","""Node1""","""Node1""",27,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
7,0.00521348214779559,0.041444717234501535,6,"(1, 1)","""Node6""","""Node3""","""Node6""","""Node6""","""Node3""","""Node1""","""Node2""","""Node4""","""Node1""","""Node2""","""Node5""",20,1.0,1.0,1.0,0.6666666666666666,0.25,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
8,0.00367396469931076,0.040923096447349885,6,"(1, 1)","""Node4""","""Node6""","""Node4""","""Node4""","""Node5""","""Node1""","""Node3""","""Node2""","""Node1""","""Node2""","""Node2""",20,1.0,1.0,1.0,1.0,1.0,0.5,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
9,0.0044851535174926,0.042728497213271,6,"(1, 1)","""Node6""","""Node1""","""Node3""","""Node1""","""Node4""","""Node5""","""Node2""","""Node3""","""Node4""","""Node5""","""Node2""",20,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
