Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.003425538,0.04393746,5,"(7, 7)","""Node1""","""Node4""","""Node1""","""Node6""","""Node5""","""Node3""","""Node1""","""Node6""","""Node5""","""Node6""","""Node5""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",9
0.004906667,0.043974756,4,"(8, 8)","""Node6""","""Node6""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node1""","""Node2""","""Node1""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB""",18
0.003817642,0.043974783,5,"(7, 8)","""Node2""","""Node1""","""Node2""","""Node6""","""Node4""","""Node1""","""Node2""","""Node6""","""Node5""","""Node6""","""Node5""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""",1.0,1.0,0.666666667,1.0,0.666666667,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",16
0.004176909,0.043976864,4,"(2, 2)","""Node3""","""Node6""","""Node3""","""Node1""","""Node5""","""Node6""","""Node3""","""Node1""","""Node5""","""Node1""","""Node5""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",12
0.004661617,0.043977815,5,"(4, 4)","""Node1""","""Node4""","""Node5""","""Node3""","""Node1""","""Node4""","""Node2""","""Node5""","""Node2""","""Node2""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""ARMv8""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,1.0,0.5,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""",25
0.004210064,0.044007605,6,"(7, 8)","""Node2""","""Node1""","""Node4""","""Node2""","""Node6""","""Node3""","""Node4""","""Node1""","""Node5""","""Node6""","""Node5""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",19
0.003742848,0.044053321,5,"(8, 8)","""Node4""","""Node6""","""Node4""","""Node3""","""Node1""","""Node5""","""Node4""","""Node3""","""Node1""","""Node5""","""Node5""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,0.666666667,"""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",16
0.004507758,0.044069269,4,"(6, 6)","""Node6""","""Node1""","""Node6""","""Node4""","""Node2""","""Node1""","""Node6""","""Node4""","""Node1""","""Node2""","""Node2""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""",16
0.003558153,0.044072812,5,"(3, 3)","""Node3""","""Node6""","""Node4""","""Node3""","""Node1""","""Node6""","""Node4""","""Node2""","""Node4""","""Node2""","""Node2""","""Adreno""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS""",13
0.00322671,0.044078992,5,"(7, 7)","""Node3""","""Node3""","""Node1""","""Node4""","""Node5""","""Node3""","""Node6""","""Node4""","""Node6""","""Node4""","""Node6""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB""",5
0.003302446,0.044090916,5,"(5, 5)","""Node3""","""Node6""","""Node3""","""Node5""","""Node4""","""Node1""","""Node6""","""Node5""","""Node1""","""Node5""","""Node1""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB""",7
0.004412486,0.044091225,4,"(6, 6)","""Node2""","""Node2""","""Node5""","""Node3""","""Node6""","""Node2""","""Node5""","""Node3""","""Node6""","""Node3""","""Node6""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",0.25,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",15
0.004325078,0.044102151,4,"(5, 5)","""Node4""","""Node4""","""Node1""","""Node6""","""Node3""","""Node4""","""Node1""","""Node6""","""Node1""","""Node3""","""Node3""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",14
