Latency,PowerConsumption,Number of Processors,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.0035956921248338296,0.0449260437202656,6,"""Node1""","""Node5""","""Node2""","""Node1""","""Node6""","""Node4""","""Node5""","""Node3""","""Node6""","""Node5""","""Node6""","""ARMv8""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""","""Adreno""",1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"""Node1""","""Node2""","""Node5""","""Node1""","""Node4""","""Node2""","""Node2""","""Node5""","""Node2""","""Node2""","""Node2""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""",1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"""Node5""","""Node1""","""Node5""","""Node5""","""Node2""","""Node6""","""Node5""","""Node1""","""Node2""","""Node5""","""Node5""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""ARMv8""","""ARMv8""",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""FCFS""","""PB""","""FCFS""","""FCFS"""
0.00424835595532759,0.047866736933854265,5,"""Node2""","""Node4""","""Node5""","""Node2""","""Node1""","""Node3""","""Node4""","""Node5""","""Node1""","""Node5""","""Node1""","""ARMv8""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
0.004840027987672429,0.047433751622799385,6,"""Node2""","""Node6""","""Node4""","""Node2""","""Node3""","""Node5""","""Node6""","""Node4""","""Node2""","""Node1""","""Node2""","""Adreno""","""ARMv8""","""Adreno""","""ARMv8""","""Adreno""","""Adreno""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB"""
0.0047408154212841,0.04303827367956719,5,"""Node2""","""Node6""","""Node3""","""Node2""","""Node4""","""Node5""","""Node6""","""Node3""","""Node6""","""Node3""","""Node3""","""Adreno""","""Adreno""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""",0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,"""PB""","""PB""","""PB""","""PB""","""PB""","""FCFS"""
0.00441028670879665,0.04527854145177769,6,"""Node4""","""Node6""","""Node1""","""Node2""","""Node5""","""Node6""","""Node3""","""Node1""","""Node2""","""Node1""","""Node2""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""ARMv8""","""ARMv8""",1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
0.00478898056346375,0.04407589924724787,6,"""Node4""","""Node1""","""Node3""","""Node2""","""Node5""","""Node1""","""Node4""","""Node2""","""Node4""","""Node2""","""Node6""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""ARMv8""","""Adreno""",1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
0.0038639747038300603,0.045994047481347236,6,"""Node6""","""Node3""","""Node5""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node1""","""Node4""","""Node4""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""ARMv8""","""ARMv8""",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00398538157548457,0.04272508169399356,6,"""Node4""","""Node6""","""Node3""","""Node4""","""Node1""","""Node5""","""Node3""","""Node6""","""Node2""","""Node3""","""Node2""","""ARMv8""","""ARMv8""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,"""PB""","""PB""","""FCFS""","""PB""","""FCFS""","""PB"""
0.00458245835253335,0.0482335317869148,4,"""Node2""","""Node4""","""Node2""","""Node5""","""Node3""","""Node4""","""Node2""","""Node5""","""Node4""","""Node3""","""Node5""","""ARMv8""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""","""Adreno""",0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
0.0037624930612344797,0.047307307287859236,6,"""Node6""","""Node4""","""Node2""","""Node6""","""Node5""","""Node4""","""Node2""","""Node6""","""Node3""","""Node1""","""Node3""","""ARMv8""","""Adreno""","""ARMv8""","""ARMv8""","""ARMv8""","""ARMv8""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"""Node5""","""Node3""","""Node1""","""Node5""","""Node6""","""Node3""","""Node1""","""Node5""","""Node1""","""Node1""","""Node1""","""MIPS""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""Adreno""",1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"""Node3""","""Node1""","""Node5""","""Node2""","""Node3""","""Node1""","""Node5""","""Node2""","""Node1""","""Node2""","""Node1""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""","""ARMv8""","""Adreno""",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS"""
