Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorTypeDistribution,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank,no_1.0_VSFS,no_MIPS,no_Adreno,no_ARMv8
0.00423248001283055,0.043596518410074704,5,"(1, 1)","""Node5""","""Node1""","""Node5""","""Node5""","""Node6""","""Node2""","""Node1""","""Node4""","""Node6""","""Node2""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""PB""","""FCFS""","""PB""",14,0.16666666666666666,3,3,0
0.00484337808344993,0.04418915923010961,6,"(1, 1)","""Node1""","""Node4""","""Node5""","""Node5""","""Node6""","""Node2""","""Node3""","""Node4""","""Node2""","""Node6""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",38,0.3333333333333333,3,3,0
0.00693557305116058,0.04441208142092104,6,"(1, 1)","""Node3""","""Node5""","""Node2""","""Node3""","""Node6""","""Node5""","""Node1""","""Node4""","""Node6""","""Node5""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",49,0.3333333333333333,3,3,0
0.0050162140051349,0.04233508127685905,6,"(1, 1)","""Node1""","""Node3""","""Node1""","""Node6""","""Node2""","""Node4""","""Node3""","""Node5""","""Node6""","""Node5""","""Node5""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",35,0.3333333333333333,3,3,0
0.00475317771959046,0.04205650320812945,6,"(1, 1)","""Node6""","""Node2""","""Node6""","""Node6""","""Node5""","""Node1""","""Node2""","""Node3""","""Node5""","""Node4""","""Node4""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",31,0.3333333333333333,3,3,0
0.00449673235548789,0.0416793140640518,5,"(1, 1)","""Node5""","""Node4""","""Node5""","""Node5""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",10,0.16666666666666666,3,3,0
0.00526451909837831,0.044203551830137175,6,"(1, 1)","""Node5""","""Node6""","""Node5""","""Node5""","""Node3""","""Node1""","""Node2""","""Node6""","""Node3""","""Node4""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",44,0.5,3,3,0
0.0052011444941825104,0.04336970896784239,6,"(1, 1)","""Node4""","""Node1""","""Node5""","""Node4""","""Node2""","""Node6""","""Node3""","""Node5""","""Node6""","""Node2""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",43,0.3333333333333333,3,3,0
0.0051516833254178,0.039631212948089634,5,"(1, 1)","""Node3""","""Node1""","""Node4""","""Node3""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node6""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.25,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",5,0.16666666666666666,3,3,0
0.004646713782051329,0.04260474870840727,6,"(1, 1)","""Node6""","""Node6""","""Node3""","""Node6""","""Node5""","""Node4""","""Node2""","""Node1""","""Node4""","""Node2""","""Node2""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""",31,0.5,3,3,0
0.00480733529550495,0.04088601203704231,6,"(1, 1)","""Node3""","""Node2""","""Node3""","""Node5""","""Node4""","""Node2""","""Node6""","""Node5""","""Node1""","""Node5""","""Node1""","(3, 3, 0)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""PB""",20,0.16666666666666666,3,3,0
0.0041915872540893,0.04299486645920607,5,"(1, 1)","""Node3""","""Node5""","""Node3""","""Node5""","""Node4""","""Node2""","""Node1""","""Node5""","""Node2""","""Node1""","""Node2""","(2, 2, 1)",0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB""",11,0.4,2,2,1
0.0047045094720108704,0.04935297003972959,4,"(1, 1)","""Node3""","""Node1""","""Node2""","""Node4""","""Node4""","""Node1""","""Node1""","""Node2""","""Node2""","""Node2""","""Node2""","(1, 1, 2)",1.0,1.0,0.25,0.6666666666666666,1.0,0.25,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""",13,0.25,1,1,2
0.00516979307460212,0.03938981014257748,6,"(3, 4)","""Node4""","""Node3""","""Node1""","""Node4""","""Node5""","""Node3""","""Node6""","""Node1""","""Node5""","""Node2""","""Node2""","(3, 3, 0)",1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",8,0.5,3,3,0
0.00392121121971418,0.04484949304946932,5,"(1, 1)","""Node4""","""Node1""","""Node2""","""Node4""","""Node5""","""Node3""","""Node1""","""Node2""","""Node3""","""Node1""","""Node5""","(0, 0, 6)",1.0,1.0,1.0,0.6666666666666666,1.0,0.25,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""",12,0.3333333333333333,0,0,6
0.00474490244532959,0.04626055051809018,4,"(1, 1)","""Node1""","""Node2""","""Node4""","""Node3""","""Node1""","""Node2""","""Node4""","""Node3""","""Node2""","""Node3""","""Node3""","(1, 1, 2)",1.0,1.0,1.0,0.6666666666666666,0.25,0.25,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""",7,0.25,1,1,2
0.00395848262338295,0.052025280695046826,4,"(1, 1)","""Node1""","""Node4""","""Node2""","""Node1""","""Node3""","""Node4""","""Node4""","""Node2""","""Node3""","""Node2""","""Node3""","(1, 1, 2)",1.0,1.0,1.0,1.0,1.0,0.25,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""",8,0.75,1,1,2
